mlgId,C3.1,C3.2,AT4.1,AT4.2,OO9C.1,OO9C.2,C5.1,C5.2,C4.1,C4.2,C8.1,C8.2,O91.1,O91.2,SCAAT3.1,SCAAT3.2,YLR.1,YLR.2,C11.1,C11.2,SCY.1,SCY.2
L2226-P6,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P7,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P8,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-P9,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP1,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP11,121,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP12,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP14,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP15,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP16,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP2,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP21,115,121,289,289,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP22,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP23,115,115,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP24,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP25,115,121,289,291,446,449,161,174,250,268,143,153,253,253,385,403,126,126,198,214,386,386
L2226-SCP26,115,121,289,291,446,449,164,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP3,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP4,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP5,115,121,289,291,446,449,161,174,250,268,143,153,253,271,403,403,126,126,198,214,386,386
L2226-SCP6,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP7,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP8,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
L2226-SCP9,115,121,289,291,446,449,161,174,250,268,143,153,253,271,385,403,126,126,198,214,386,386
