plateId,C3,,C5,,C8,,C4,,O91,,AT4,,SCAAT3,,OO9,
P80B07,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80B08,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80B09,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80B10,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80B11,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80B12,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80C01,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80C02,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80C03,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80C04,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80C05,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80C06,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80C07,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80C08,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80C09,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80C10,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80C11,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80C12,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80D01,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80D02,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80D03,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80D04,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80D05,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80D06,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80D07,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80D08,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80D09,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80D10,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80D11,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80D12,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80E01,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80E02,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80E03,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80E04,124,124,166,166,133,133,263,263,170,259,277,277,373,373,420,420
P80E05,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80E06,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80E07,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80E08,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80E10,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80E11,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80E12,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80F01,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80F02,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80F03,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80F04,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80F05,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80F06,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80F07,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80F08,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80F09,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80F10,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80F11,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80F12,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80G01,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80G02,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80G03,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80G04,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80G05,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80G06,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80G07,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80G08,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80G09,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80G10,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80G11,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80G12,124,124,124,124,153,153,258,258,280,280,293,293,388,388,431,431
P80H01,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80H02,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80H03,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80H04,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80H05,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80H06,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80H07,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80H08,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80H09,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80H10,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80H11,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P81A01,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81A02,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81A03,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81A04,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81A05,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81A06,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81A07,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81A08,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81A09,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81A10,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81A11,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81A12,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81B01,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81B02,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81B03,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81B04,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81B05,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81B06,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81B07,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81B08,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81B09,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81B10,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81B11,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81B12,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81C01,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81C02,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81C03,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81C04,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81C05,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81C06,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81C07,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81C08,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81C09,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81C10,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81C11,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81C12,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81D01,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81D02,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81D03,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81D04,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81D05,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81D06,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81D07,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81D08,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81D09,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81D10,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81D11,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81D12,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81E01,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81E02,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81E03,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81E04,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81E05,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81E06,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81E07,124,124,159,159,133,133,266,266,254,254,277,277,400,406,420,420
P81E08,124,124,159,159,133,136,266,266,254,254,277,277,400,400,420,420
P81E09,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81E10,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81E11,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81E12,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81F01,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81F02,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81F03,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81F04,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81F05,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81F06,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81F07,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81F08,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81F09,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81F10,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81F11,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81F12,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81G01,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81G02,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81G03,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81G04,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81G05,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81G06,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81G07,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81G08,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81G09,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81G10,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81G11,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81H01,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81H02,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81H03,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81H04,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81H05,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81H06,124,124,120,120,149,149,279,279,254,254,277,277,397,397,420,420
P81H08,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81H09,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81H10,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P81H11,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P8203,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82A01,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82A02,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82A03,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82A04,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82A05,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82A06,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82A07,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P82A08,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P82A09,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P82A10,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P82A11,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P82A12,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P82B01,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82B02,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82B04,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82B05,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82B06,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82B07,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P82B08,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P82B09,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P82B10,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P82B11,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P82B12,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P82C01,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82C02,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82C03,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82C04,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82C05,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82C06,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82C07,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P82C08,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P82C09,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P82C10,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P82C11,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P82C12,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P82D01,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82D02,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82D03,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82D04,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82D05,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82D06,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82D07,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P82D08,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P82D09,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P82D10,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P82D11,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P82D12,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
P82E01,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82E02,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82E03,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82E04,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82E05,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82E06,115,115,122,124,139,146,310,310,268,307,289,293,388,400,423,425
P82E07,124,124,159,159,133,133,266,266,254,254,277,277,400,400,420,420
