plateId,plate,cell,species,vintage,winery,vineyard,fermRep,hour,timepoint,isolate,isolateId,C3.1,C3.2,C5.1,C5.2,C8.1,C8.2,C4.1,C4.2,O91.1,O91.2,AT4.1,AT4.2,SCAAT3.1,SCAAT3.2,OO9.1,OO9.2
P05F06,P05,F06,Sc,2013,OCP,G,16,645,L,6,2013_OCP_G16_645_06,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
P06B03,P06,B03,Sc,2013,OCP,G,17,645,L,8,2013_OCP_G17_645_08,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P06C03,P06,C03,Sc,2013,OCP,G,17,645,L,9,2013_OCP_G17_645_09,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P06D03,P06,D03,Sc,2013,OCP,G,17,645,L,10,2013_OCP_G17_645_10,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P05B07,P05,B07,Sc,2013,OCP,G,16,645,L,10,2013_OCP_G16_645_10,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
P06E03,P06,E03,Sc,2013,OCP,G,17,645,L,11,2013_OCP_G17_645_11,121,121,151,163,146,149,261,261,301,317,293,293,380,403,420,452
P05C07,P05,C07,Sc,2013,OCP,G,16,645,L,11,2013_OCP_G16_645_11,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
P06A11,P06,A11,Sc,2013,OCP,G,18,645,L,11,2013_OCP_G18_645_11,124,124,151,151,146,146,260,260,259,259,293,293,382,382,452,452
P06B11,P06,B11,Sc,2013,OCP,G,18,645,L,12,2013_OCP_G18_645_12,121,121,157,157,149,149,258,258,250,250,295,295,409,409,423,423
P06F03,P06,F03,Sc,2013,OCP,G,17,645,L,12,2013_OCP_G17_645_12,121,121,151,163,146,149,261,261,301,317,293,293,380,403,420,452
P06C11,P06,C11,Sc,2013,OCP,G,18,645,L,13,2013_OCP_G18_645_13,121,121,157,157,149,149,256,256,244,244,295,295,409,409,423,423
P06G03,P06,G03,Sc,2013,OCP,G,17,645,L,13,2013_OCP_G17_645_13,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
P06H03,P06,H03,Sc,2013,OCP,G,17,645,L,14,2013_OCP_G17_645_14,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P06A04,P06,A04,Sc,2013,OCP,G,17,645,L,15,2013_OCP_G17_645_15,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P06E11,P06,E11,Sc,2013,OCP,G,18,645,L,15,2013_OCP_G18_645_15,121,124,137,137,146,146,249,249,280,292,289,293,425,425,420,446
P05H07,P05,H07,Sc,2013,OCP,G,16,645,L,16,2013_OCP_G16_645_16,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
P06B04,P06,B04,Sc,2013,OCP,G,17,645,L,16,2013_OCP_G17_645_16,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
P06C04,P06,C04,Sc,2013,OCP,G,17,645,L,17,2013_OCP_G17_645_17,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P06D04,P06,D04,Sc,2013,OCP,G,17,645,L,18,2013_OCP_G17_645_18,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P06H11,P06,H11,Sc,2013,OCP,G,18,645,L,18,2013_OCP_G18_645_18,121,124,137,137,146,146,249,249,280,292,289,293,425,425,420,446
P05B08,P05,B08,Sc,2013,OCP,G,16,645,L,18,2013_OCP_G16_645_18,124,124,172,172,133,133,279,279,254,254,277,277,400,400,420,420
P06E04,P06,E04,Sc,2013,OCP,G,17,645,L,19,2013_OCP_G17_645_19,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P05C08,P05,C08,Sc,2013,OCP,G,16,645,L,19,2013_OCP_G16_645_19,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
P06F04,P06,F04,Sc,2013,OCP,G,17,645,L,20,2013_OCP_G17_645_20,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
