plateId,plate,cell,species,vintage,winery,vineyard,fermRep,hour,timepoint,isolate,isolateId,C3.1,C3.2,C5.1,C5.2,C8.1,C8.2,C4.1,C4.2,O91.1,O91.2,AT4.1,AT4.2,SCAAT3.1,SCAAT3.2,OO9.1,OO9.2
P07A12,P07,A12,Sc,2013,OCP,White,1,10.8Bx,M,9,2013_OCP_White1_10.8Bx_09,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,416
P07B12,P07,B12,Sc,2013,OCP,White,1,10.8Bx,M,10,2013_OCP_White1_10.8Bx_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P08A01,P08,A01,Sc,2013,OCP,White,1,10.8Bx,M,11,2013_OCP_White1_10.8Bx_11,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08B01,P08,B01,Sc,2013,OCP,White,1,10.8Bx,M,12,2013_OCP_White1_10.8Bx_12,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08C01,P08,C01,Sc,2013,OCP,White,1,10.8Bx,M,13,2013_OCP_White1_10.8Bx_13,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08D01,P08,D01,Sc,2013,OCP,White,1,10.8Bx,M,14,2013_OCP_White1_10.8Bx_14,124,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08E01,P08,E01,Sc,2013,OCP,White,1,10.8Bx,M,15,2013_OCP_White1_10.8Bx_15,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08F01,P08,F01,Sc,2013,OCP,White,1,10.8Bx,M,16,2013_OCP_White1_10.8Bx_16,121,121,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08G01,P08,G01,Sc,2013,OCP,White,1,10.8Bx,M,17,2013_OCP_White1_10.8Bx_17,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08H01,P08,H01,Sc,2013,OCP,White,1,10.8Bx,M,18,2013_OCP_White1_10.8Bx_18,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08A02,P08,A02,Sc,2013,OCP,White,1,10.8Bx,M,19,2013_OCP_White1_10.8Bx_19,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08B02,P08,B02,Sc,2013,OCP,White,1,10.8Bx,M,20,2013_OCP_White1_10.8Bx_20,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P46C05,P46,C05,Sc,2014,OCP,WIN,5,0,0,3,2014OCP05_0_03,115,121,124,124,139,146,310,310,268,316,276,289,388,388,423,434
P46D05,P46,D05,Sc,2014,OCP,WIN,5,0,0,4,2014OCP05_0_04,121,121,151,163,146,149,261,261,301,316,293,293,380,403,420,452
P46C06,P46,C06,Sc,2014,OCP,WIN,5,0,0,11,2014OCP05_0_11,121,121,151,163,146,149,261,261,301,316,293,293,380,403,420,452
P46G07,P46,G07,Sc,2014,OCP,WIN,5,0,0,23,2014OCP05_0_23,121,121,151,163,146,149,261,261,301,316,293,293,380,403,420,452
P46B08,P46,B08,Sc,2014,OCP,WIN,5,0,0,26,2014OCP05_0_26,121,121,151,163,146,149,261,261,316,316,293,293,380,403,420,452
P46C08,P46,C08,Sc,2014,OCP,WIN,5,0,0,27,2014OCP05_0_27,121,124,137,137,146,146,250,250,280,292,289,293,397,425,420,446
P45C11,P45,C11,Sc,2014,OCP,WIN,6,0,0,31,2014OCP06_0_31,115,121,124,132,139,146,310,310,268,316,276,289,388,483,423,434
P46G08,P46,G08,Sc,2014,OCP,WIN,5,0,0,31,2014OCP05_0_31,121,124,137,137,146,146,250,250,280,292,289,293,425,425,420,446
P45D11,P45,D11,Sc,2014,OCP,WIN,6,0,0,32,2014OCP06_0_32,121,121,122,122,143,143,243,250,279,304,287,293,385,385,446,446
P42A01,P42,A01,Sc,2014,OCP,WIN,4,Early,E,1,2014OCP04_Early_01,121,121,151,163,146,149,261,261,301,301,293,293,380,403,420,452
P39A01,P39,A01,Sc,2014,OCP,WIN,1,Early,E,1,2014OCP01_Early_01,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40A01,P40,A01,Sc,2014,OCP,WIN,2,Early,E,1,2014OCP02_Early_01,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41A01,P41,A01,Sc,2014,OCP,WIN,3,Early,E,1,2014OCP03_Early_01,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,428
P42B01,P42,B01,Sc,2014,OCP,WIN,4,Early,E,2,2014OCP04_Early_02,121,121,157,157,149,149,256,258,244,250,275,275,403,403,423,452
P39B01,P39,B01,Sc,2014,OCP,WIN,1,Early,E,2,2014OCP01_Early_02,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40B01,P40,B01,Sc,2014,OCP,WIN,2,Early,E,2,2014OCP02_Early_02,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41B01,P41,B01,Sc,2014,OCP,WIN,3,Early,E,2,2014OCP03_Early_02,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P44B01,P44,B01,Sc,2014,OCP,WIN,6,Early,E,2,2014OCP06_Early_02,127,127,128,128,146,146,250,250,286,286,291,291,400,400,446,446
P44C01,P44,C01,Sc,2014,OCP,WIN,6,Early,E,3,2014OCP06_Early_03,121,121,151,163,146,149,261,261,301,301,293,293,380,403,420,452
P39C01,P39,C01,Sc,2014,OCP,WIN,1,Early,E,3,2014OCP01_Early_03,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40C01,P40,C01,Sc,2014,OCP,WIN,2,Early,E,3,2014OCP02_Early_03,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41C01,P41,C01,Sc,2014,OCP,WIN,3,Early,E,3,2014OCP03_Early_03,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P39D01,P39,D01,Sc,2014,OCP,WIN,1,Early,E,4,2014OCP01_Early_04,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40D01,P40,D01,Sc,2014,OCP,WIN,2,Early,E,4,2014OCP02_Early_04,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41D01,P41,D01,Sc,2014,OCP,WIN,3,Early,E,4,2014OCP03_Early_04,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P43E01,P43,E01,Sc,2014,OCP,WIN,5,Early,E,5,2014OCP05_Early_05,121,124,137,137,146,146,250,250,280,292,293,293,425,425,420,446
P39E01,P39,E01,Sc,2014,OCP,WIN,1,Early,E,5,2014OCP01_Early_05,124,124,159,161,149,149,253,253,254,254,277,277,380,380,420,420
P40E01,P40,E01,Sc,2014,OCP,WIN,2,Early,E,5,2014OCP02_Early_05,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41E01,P41,E01,Sc,2014,OCP,WIN,3,Early,E,5,2014OCP03_Early_05,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P43F01,P43,F01,Sc,2014,OCP,WIN,5,Early,E,6,2014OCP05_Early_06,115,121,137,137,146,149,256,256,259,259,289,289,400,425,446,446
P44F01,P44,F01,Sc,2014,OCP,WIN,6,Early,E,6,2014OCP06_Early_06,121,121,151,163,146,149,261,261,301,301,293,293,380,403,420,452
P40F01,P40,F01,Sc,2014,OCP,WIN,2,Early,E,6,2014OCP02_Early_06,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41F01,P41,F01,Sc,2014,OCP,WIN,3,Early,E,6,2014OCP03_Early_06,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P39G01,P39,G01,Sc,2014,OCP,WIN,1,Early,E,7,2014OCP01_Early_07,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40G01,P40,G01,Sc,2014,OCP,WIN,2,Early,E,7,2014OCP02_Early_07,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41G01,P41,G01,Sc,2014,OCP,WIN,3,Early,E,7,2014OCP03_Early_07,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41H01,P41,H01,Sc,2014,OCP,WIN,3,Early,E,8,2014OCP03_Early_08,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P44A02,P44,A02,Sc,2014,OCP,WIN,6,Early,E,9,2014OCP06_Early_09,115,121,124,132,139,146,310,310,268,268,276,289,388,388,423,434
P42A02,P42,A02,Sc,2014,OCP,WIN,4,Early,E,9,2014OCP04_Early_09,121,121,151,163,146,149,261,261,301,316,293,293,380,403,420,452
P39A02,P39,A02,Sc,2014,OCP,WIN,1,Early,E,9,2014OCP01_Early_09,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40A02,P40,A02,Sc,2014,OCP,WIN,2,Early,E,9,2014OCP02_Early_09,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41A02,P41,A02,Sc,2014,OCP,WIN,3,Early,E,9,2014OCP03_Early_09,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P44B02,P44,B02,Sc,2014,OCP,WIN,6,Early,E,10,2014OCP06_Early_10,115,121,124,132,139,146,310,310,268,268,276,289,388,388,423,434
P43B02,P43,B02,Sc,2014,OCP,WIN,5,Early,E,10,2014OCP05_Early_10,121,121,151,163,146,149,261,261,301,316,293,293,380,403,420,452
P39B02,P39,B02,Sc,2014,OCP,WIN,1,Early,E,10,2014OCP01_Early_10,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40B02,P40,B02,Sc,2014,OCP,WIN,2,Early,E,10,2014OCP02_Early_10,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41B02,P41,B02,Sc,2014,OCP,WIN,3,Early,E,10,2014OCP03_Early_10,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P39C02,P39,C02,Sc,2014,OCP,WIN,1,Early,E,11,2014OCP01_Early_11,115,121,124,132,139,146,264,310,268,316,276,289,388,388,423,434
P42C02,P42,C02,Sc,2014,OCP,WIN,4,Early,E,11,2014OCP04_Early_11,121,121,122,122,143,143,243,250,301,304,287,293,385,385,446,446
P40C02,P40,C02,Sc,2014,OCP,WIN,2,Early,E,11,2014OCP02_Early_11,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41C02,P41,C02,Sc,2014,OCP,WIN,3,Early,E,11,2014OCP03_Early_11,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,428
P43D02,P43,D02,Sc,2014,OCP,WIN,5,Early,E,12,2014OCP05_Early_12,121,121,139,139,146,146,261,261,259,259,293,293,388,388,452,452
P39D02,P39,D02,Sc,2014,OCP,WIN,1,Early,E,12,2014OCP01_Early_12,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40D02,P40,D02,Sc,2014,OCP,WIN,2,Early,E,12,2014OCP02_Early_12,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41D02,P41,D02,Sc,2014,OCP,WIN,3,Early,E,12,2014OCP03_Early_12,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P42E02,P42,E02,Sc,2014,OCP,WIN,4,Early,E,13,2014OCP04_Early_13,121,124,137,137,146,146,250,250,280,292,289,293,425,425,420,446
P44E02,P44,E02,Sc,2014,OCP,WIN,6,Early,E,13,2014OCP06_Early_13,121,124,137,137,146,146,250,250,280,292,289,293,425,425,420,446
P39E02,P39,E02,Sc,2014,OCP,WIN,1,Early,E,13,2014OCP01_Early_13,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41E02,P41,E02,Sc,2014,OCP,WIN,3,Early,E,13,2014OCP03_Early_13,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P42F02,P42,F02,Sc,2014,OCP,WIN,4,Early,E,14,2014OCP04_Early_14,121,121,151,163,146,149,261,261,301,316,293,293,380,403,420,452
P39F02,P39,F02,Sc,2014,OCP,WIN,1,Early,E,14,2014OCP01_Early_14,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40F02,P40,F02,Sc,2014,OCP,WIN,2,Early,E,14,2014OCP02_Early_14,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41F02,P41,F02,Sc,2014,OCP,WIN,3,Early,E,14,2014OCP03_Early_14,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P42G02,P42,G02,Sc,2014,OCP,WIN,4,Early,E,15,2014OCP04_Early_15,115,115,124,132,139,146,310,310,268,316,276,289,388,483,423,434
P39G02,P39,G02,Sc,2014,OCP,WIN,1,Early,E,15,2014OCP01_Early_15,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40G02,P40,G02,Sc,2014,OCP,WIN,2,Early,E,15,2014OCP02_Early_15,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41G02,P41,G02,Sc,2014,OCP,WIN,3,Early,E,15,2014OCP03_Early_15,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P43H02,P43,H02,Sc,2014,OCP,WIN,5,Early,E,16,2014OCP05_Early_16,121,124,137,137,146,146,250,250,280,292,289,293,425,425,420,446
P39H02,P39,H02,Sc,2014,OCP,WIN,1,Early,E,16,2014OCP01_Early_16,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40H02,P40,H02,Sc,2014,OCP,WIN,2,Early,E,16,2014OCP02_Early_16,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41H02,P41,H02,Sc,2014,OCP,WIN,3,Early,E,16,2014OCP03_Early_16,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P42A03,P42,A03,Sc,2014,OCP,WIN,4,Early,E,17,2014OCP04_Early_17,121,124,137,137,146,146,250,250,280,292,289,293,425,425,420,446
P43A03,P43,A03,Sc,2014,OCP,WIN,5,Early,E,17,2014OCP05_Early_17,121,124,137,137,146,146,250,250,280,292,289,293,425,425,420,446
P39A03,P39,A03,Sc,2014,OCP,WIN,1,Early,E,17,2014OCP01_Early_17,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40A03,P40,A03,Sc,2014,OCP,WIN,2,Early,E,17,2014OCP02_Early_17,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41A03,P41,A03,Sc,2014,OCP,WIN,3,Early,E,17,2014OCP03_Early_17,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P43B03,P43,B03,Sc,2014,OCP,WIN,5,Early,E,18,2014OCP05_Early_18,121,121,151,163,146,149,261,261,276,301,293,293,380,403,420,452
P39B03,P39,B03,Sc,2014,OCP,WIN,1,Early,E,18,2014OCP01_Early_18,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40B03,P40,B03,Sc,2014,OCP,WIN,2,Early,E,18,2014OCP02_Early_18,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P43C03,P43,C03,Sc,2014,OCP,WIN,5,Early,E,19,2014OCP05_Early_19,121,124,137,137,146,146,250,250,280,292,289,293,425,425,420,446
P39C03,P39,C03,Sc,2014,OCP,WIN,1,Early,E,19,2014OCP01_Early_19,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40C03,P40,C03,Sc,2014,OCP,WIN,2,Early,E,19,2014OCP02_Early_19,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41C03,P41,C03,Sc,2014,OCP,WIN,3,Early,E,19,2014OCP03_Early_19,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P42D03,P42,D03,Sc,2014,OCP,WIN,4,Early,E,20,2014OCP04_Early_20,121,124,137,137,146,146,250,250,280,292,289,293,425,425,420,446
P39D03,P39,D03,Sc,2014,OCP,WIN,1,Early,E,20,2014OCP01_Early_20,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40D03,P40,D03,Sc,2014,OCP,WIN,2,Early,E,20,2014OCP02_Early_20,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41D03,P41,D03,Sc,2014,OCP,WIN,3,Early,E,20,2014OCP03_Early_20,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41E03,P41,E03,Sc,2014,OCP,WIN,3,Early,E,21,2014OCP03_Early_21,121,121,122,122,143,143,243,250,301,304,287,293,385,385,446,446
P42E03,P42,E03,Sc,2014,OCP,WIN,4,Early,E,21,2014OCP04_Early_21,121,121,151,163,146,149,261,261,301,301,293,293,380,403,420,452
P43E03,P43,E03,Sc,2014,OCP,WIN,5,Early,E,21,2014OCP05_Early_21,121,121,151,163,146,149,261,261,301,316,293,293,380,403,420,452
P39E03,P39,E03,Sc,2014,OCP,WIN,1,Early,E,21,2014OCP01_Early_21,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40E03,P40,E03,Sc,2014,OCP,WIN,2,Early,E,21,2014OCP02_Early_21,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P42F03,P42,F03,Sc,2014,OCP,WIN,4,Early,E,22,2014OCP04_Early_22,121,121,151,163,146,149,261,261,301,320,293,293,380,403,420,452
P39F03,P39,F03,Sc,2014,OCP,WIN,1,Early,E,22,2014OCP01_Early_22,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40F03,P40,F03,Sc,2014,OCP,WIN,2,Early,E,22,2014OCP02_Early_22,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P44F03,P44,F03,Sc,2014,OCP,WIN,6,Early,E,22,2014OCP06_Early_22,124,124,137,137,146,146,250,250,280,292,289,293,425,425,420,446
P39G03,P39,G03,Sc,2014,OCP,WIN,1,Early,E,23,2014OCP01_Early_23,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40G03,P40,G03,Sc,2014,OCP,WIN,2,Early,E,23,2014OCP02_Early_23,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41G03,P41,G03,Sc,2014,OCP,WIN,3,Early,E,23,2014OCP03_Early_23,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P43G03,P43,G03,Sc,2014,OCP,WIN,5,Early,E,23,2014OCP05_Early_23,127,127,128,128,146,146,250,250,273,286,291,291,400,400,446,446
P39H03,P39,H03,Sc,2014,OCP,WIN,1,Early,E,24,2014OCP01_Early_24,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40H03,P40,H03,Sc,2014,OCP,WIN,2,Early,E,24,2014OCP02_Early_24,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41H03,P41,H03,Sc,2014,OCP,WIN,3,Early,E,24,2014OCP03_Early_24,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P43H03,P43,H03,Sc,2014,OCP,WIN,5,Early,E,24,2014OCP05_Early_24,127,127,128,128,146,146,250,250,286,286,291,291,400,400,446,446
P39A04,P39,A04,Sc,2014,OCP,WIN,1,Early,E,25,2014OCP01_Early_25,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40A04,P40,A04,Sc,2014,OCP,WIN,2,Early,E,25,2014OCP02_Early_25,124,124,159,161,149,149,253,253,254,254,277,277,380,380,420,420
P41A04,P41,A04,Sc,2014,OCP,WIN,3,Early,E,25,2014OCP03_Early_25,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P39B04,P39,B04,Sc,2014,OCP,WIN,1,Early,E,26,2014OCP01_Early_26,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40B04,P40,B04,Sc,2014,OCP,WIN,2,Early,E,26,2014OCP02_Early_26,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41B04,P41,B04,Sc,2014,OCP,WIN,3,Early,E,26,2014OCP03_Early_26,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P42B04,P42,B04,Sc,2014,OCP,WIN,4,Early,E,26,2014OCP04_Early_26,124,124,151,151,146,146,260,260,259,259,293,293,382,382,452,452
P42C04,P42,C04,Sc,2014,OCP,WIN,4,Early,E,27,2014OCP04_Early_27,121,124,137,137,146,146,250,250,280,292,289,293,425,425,420,446
P43C04,P43,C04,Sc,2014,OCP,WIN,5,Early,E,27,2014OCP05_Early_27,121,124,137,137,146,146,250,250,280,292,289,293,425,425,420,446
P39C04,P39,C04,Sc,2014,OCP,WIN,1,Early,E,27,2014OCP01_Early_27,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40C04,P40,C04,Sc,2014,OCP,WIN,2,Early,E,27,2014OCP02_Early_27,124,124,159,159,149,149,253,253,254,254,277,277,0,0,420,420
P41C04,P41,C04,Sc,2014,OCP,WIN,3,Early,E,27,2014OCP03_Early_27,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,428
P43D04,P43,D04,Sc,2014,OCP,WIN,5,Early,E,28,2014OCP05_Early_28,121,121,151,163,146,149,261,261,276,301,293,293,380,403,420,452
P44D04,P44,D04,Sc,2014,OCP,WIN,6,Early,E,28,2014OCP06_Early_28,121,127,137,157,143,146,253,271,248,248,299,299,400,400,420,431
P39D04,P39,D04,Sc,2014,OCP,WIN,1,Early,E,28,2014OCP01_Early_28,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40D04,P40,D04,Sc,2014,OCP,WIN,2,Early,E,28,2014OCP02_Early_28,124,124,159,161,149,149,253,253,254,254,277,277,380,380,420,420
P41D04,P41,D04,Sc,2014,OCP,WIN,3,Early,E,28,2014OCP03_Early_28,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P42D04,P42,D04,Sc,2014,OCP,WIN,4,Early,E,28,2014OCP04_Early_28,124,124,137,137,146,146,250,250,280,292,289,293,425,425,420,446
P39E04,P39,E04,Sc,2014,OCP,WIN,1,Early,E,29,2014OCP01_Early_29,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40E04,P40,E04,Sc,2014,OCP,WIN,2,Early,E,29,2014OCP02_Early_29,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41E04,P41,E04,Sc,2014,OCP,WIN,3,Early,E,29,2014OCP03_Early_29,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P39F04,P39,F04,Sc,2014,OCP,WIN,1,Early,E,30,2014OCP01_Early_30,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40F04,P40,F04,Sc,2014,OCP,WIN,2,Early,E,30,2014OCP02_Early_30,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41F04,P41,F04,Sc,2014,OCP,WIN,3,Early,E,30,2014OCP03_Early_30,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40G04,P40,G04,Sc,2014,OCP,WIN,2,Early,E,31,2014OCP02_Early_31,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41G04,P41,G04,Sc,2014,OCP,WIN,3,Early,E,31,2014OCP03_Early_31,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P44H04,P44,H04,Sc,2014,OCP,WIN,6,Early,E,32,2014OCP06_Early_32,121,121,151,163,146,149,261,261,301,316,293,293,380,403,420,452
P39H04,P39,H04,Sc,2014,OCP,WIN,1,Early,E,32,2014OCP01_Early_32,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40H04,P40,H04,Sc,2014,OCP,WIN,2,Early,E,32,2014OCP02_Early_32,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41H04,P41,H04,Sc,2014,OCP,WIN,3,Early,E,32,2014OCP03_Early_32,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P42A09,P42,A09,Sc,2014,OCP,WIN,4,Late,L,1,2014OCP04_Late_01,115,121,124,132,139,146,264,310,268,268,276,289,388,483,423,434
P43A09,P43,A09,Sc,2014,OCP,WIN,5,Late,L,1,2014OCP05_Late_01,115,121,124,132,139,146,310,310,268,316,276,289,388,388,423,434
P44A09,P44,A09,Sc,2014,OCP,WIN,6,Late,L,1,2014OCP06_Late_01,121,124,137,137,146,146,250,250,280,292,289,293,425,425,420,446
P39A09,P39,A09,Sc,2014,OCP,WIN,1,Late,L,1,2014OCP01_Late_01,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40A09,P40,A09,Sc,2014,OCP,WIN,2,Late,L,1,2014OCP02_Late_01,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41A09,P41,A09,Sc,2014,OCP,WIN,3,Late,L,1,2014OCP03_Late_01,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40B09,P40,B09,Sc,2014,OCP,WIN,2,Late,L,2,2014OCP02_Late_02,115,121,124,132,139,146,310,310,268,320,276,289,388,388,423,434
P42B09,P42,B09,Sc,2014,OCP,WIN,4,Late,L,2,2014OCP04_Late_02,115,121,124,132,139,146,264,310,268,320,276,289,388,483,423,434
P43B09,P43,B09,Sc,2014,OCP,WIN,5,Late,L,2,2014OCP05_Late_02,121,121,151,163,146,149,261,261,301,316,293,293,380,403,420,452
P44B09,P44,B09,Sc,2014,OCP,WIN,6,Late,L,2,2014OCP06_Late_02,121,121,151,163,146,149,261,261,301,316,293,293,380,403,420,452
P39B09,P39,B09,Sc,2014,OCP,WIN,1,Late,L,2,2014OCP01_Late_02,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41B09,P41,B09,Sc,2014,OCP,WIN,3,Late,L,2,2014OCP03_Late_02,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P42C09,P42,C09,Sc,2014,OCP,WIN,4,Late,L,3,2014OCP04_Late_03,115,121,124,132,139,146,264,310,268,316,289,289,388,483,423,434
P43C09,P43,C09,Sc,2014,OCP,WIN,5,Late,L,3,2014OCP05_Late_03,115,121,124,132,139,146,264,310,268,316,276,289,388,388,423,434
P44C09,P44,C09,Sc,2014,OCP,WIN,6,Late,L,3,2014OCP06_Late_03,115,121,124,132,139,146,307,310,268,316,276,289,388,483,423,434
P41C09,P41,C09,Sc,2014,OCP,WIN,3,Late,L,3,2014OCP03_Late_03,121,124,137,137,146,146,250,250,280,292,289,293,425,425,420,446
P39C09,P39,C09,Sc,2014,OCP,WIN,1,Late,L,3,2014OCP01_Late_03,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P40C09,P40,C09,Sc,2014,OCP,WIN,2,Late,L,3,2014OCP02_Late_03,124,124,159,161,149,149,253,253,254,254,277,277,380,380,420,420
P40D09,P40,D09,Sc,2014,OCP,WIN,2,Late,L,4,2014OCP02_Late_04,115,121,124,132,139,146,0,0,268,268,276,289,388,388,423,434
P43D09,P43,D09,Sc,2014,OCP,WIN,5,Late,L,4,2014OCP05_Late_04,115,121,124,132,139,146,264,310,268,316,276,289,388,388,423,434
P42D09,P42,D09,Sc,2014,OCP,WIN,4,Late,L,4,2014OCP04_Late_04,121,121,151,163,146,149,261,261,301,316,293,293,380,403,420,452
P39D09,P39,D09,Sc,2014,OCP,WIN,1,Late,L,4,2014OCP01_Late_04,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P41D09,P41,D09,Sc,2014,OCP,WIN,3,Late,L,4,2014OCP03_Late_04,124,124,159,159,149,149,253,253,254,254,277,277,380,380,420,420
P44D09,P44,D09,Sc,2014,OCP,WIN,6,Late,L,4,2014OCP06_Late_04,127,127,147,147,149,149,250,250,248,248,304,304,388,388,423,423
P43E09,P43,E09,Sc,2014,OCP,WIN,5,Late,L,5,2014OCP05_Late_05,115,121,124,132,139,146,264,310,268,268,276,289,388,388,423,434
P44E09,P44,E09,Sc,2014,OCP,WIN,6,Late,L,5,2014OCP06_Late_05,115,115,124,132,139,146,310,310,268,316,276,289,388,483,423,434
P40E09,P40,E09,Sc,2014,OCP,WIN,2,Late,L,5,2014OCP02_Late_05,118,118,137,137,146,149,253,258,323,323,293,293,394,394,452,452
P42E09,P42,E09,Sc,2014,OCP,WIN,4,Late,L,5,2014OCP04_Late_05,121,121,151,163,146,149,261,261,301,301,293,293,380,403,420,452
