8,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
isolateId,popprId,C3,,C5,,C8,,C4,,O91,,AT4,,SCAAT3,,OO9,
2013_OCP_G17_645_15,Sc_2013_G_17_L,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_G18_645_15,Sc_2013_G_18_L,121,124,137,137,146,146,249,249,280,292,289,293,425,425,420,446
2013_OCP_G16_645_16,Sc_2013_G_16_L,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
2013_OCP_G17_645_16,Sc_2013_G_17_L,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
2013_OCP_G17_645_17,Sc_2013_G_17_L,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_G17_645_18,Sc_2013_G_17_L,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_G18_645_18,Sc_2013_G_18_L,121,124,137,137,146,146,249,249,280,292,289,293,425,425,420,446
2013_OCP_G16_645_18,Sc_2013_G_16_L,124,124,172,172,133,133,279,279,254,254,277,277,400,400,420,420
2013_OCP_G17_645_19,Sc_2013_G_17_L,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_G16_645_19,Sc_2013_G_16_L,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
2013_OCP_G17_645_20,Sc_2013_G_17_L,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_G16_645_20,Sc_2013_G_16_L,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
2013_OCP_G17_332_01,Sc_2013_G_17_M,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
2013_OCP_G16_332_01,Sc_2013_G_16_M,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
2013_OCP_G17_332_02,Sc_2013_G_17_M,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_G16_332_02,Sc_2013_G_16_M,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
2013_OCP_G17_332_03,Sc_2013_G_17_M,121,121,151,163,146,149,261,261,301,317,293,293,380,403,420,452
2013_OCP_G16_332_03,Sc_2013_G_16_M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_G17_332_04,Sc_2013_G_17_M,124,124,120,120,149,149,279,279,254,254,277,277,380,380,420,420
2013_OCP_G17_332_05,Sc_2013_G_17_M,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
